quiz_id,question_text,options,correct_option,fun_fact
80551683-ff6b-44ee-95c0-f78427329541,What does AI stand for?,"{'A': 'Artificial Interface', 'B': 'Analytical Inference', 'C': 'Automated Interface', 'D': 'Artificial Intelligence'}",4,"Artificial Intelligence (AI) refers to machines' ability to perform tasks that typically require human intelligence, such as problem-solving, understanding language, and learning."
80551683-ff6b-44ee-95c0-f78427329541,"What is ""prompting"" in AI?","{'D': 'The process of manually selecting AI-generated outputs', 'A': 'Giving an AI a specific input to generate a response', 'B': 'A method of programming AI directly with code', 'C': 'A technique used to shut down an AI system'}",2,"A prompt is an instruction or input given to an AI model to guide its response. In prompt engineering, users carefully craft prompts to get better outputs. Advanced techniques like zero-shot, one-shot, and few-shot prompting help AI understand tasks more effectively."
80551683-ff6b-44ee-95c0-f78427329541,What are the three main types of AI based on capabilities?,"{'C': 'AI, Machine Learning, Deep Learning', 'D': 'Chatbots, Robots, Self-learning AI', 'A': 'Narrow AI, General AI, Super AI', 'B': 'Reactive AI, Adaptive AI, Smart AI'}",3,"AI is categorized into Narrow AI (Weak AI), General AI (Strong AI), and Super AI. Narrow AI specializes in specific tasks, like chatbots. General AI (still theoretical) would match human intelligence, while Super AI would surpass human intelligence."
80551683-ff6b-44ee-95c0-f78427329541,Which category of AI learns from past data and improves over time?,"{'C': 'Self-aware AI', 'B': 'Reactive AI', 'A': 'Limited Memory AI', 'D': 'Symbolic AI'}",3,"AI classified by function includes Reactive AI (which only responds without learning), Limited Memory AI (which learns from past experiences), Theory of Mind AI (which understands human emotions), and Self-aware AI (which is purely theoretical). Most AI today is Limited Memory AI, including self-driving cars and chatbots."
80551683-ff6b-44ee-95c0-f78427329541,Which field is most closely related to AI?,"{'A': 'Biology', 'B': 'Computer Science', 'C': 'Physics', 'D': 'Geology'}",2,"AI is rooted in computer science and overlaps with fields like mathematics, cognitive science, and neuroscience. It focuses on simulating intelligent behavior using computers."
80551683-ff6b-44ee-95c0-f78427329541,What is the primary purpose of AI?,"{'A': 'To improve battery life', 'B': 'To enable machines to perform tasks that require human intelligence', 'C': 'To develop new materials', 'D': 'To increase internet speed'}",2,"AI allows machines to perform tasks like speech recognition, decision-making, and visual perception. Its goal is to replicate or surpass human cognitive abilities."
80551683-ff6b-44ee-95c0-f78427329541,How does GPT relate to Large Language Models (LLMs)?,"{'B': 'GPT is a completely different AI concept', 'D': 'LLMs are only used in chatbots, while GPT is used in robots', 'C': 'GPT only translates languages, while LLMs generate text', 'A': 'GPT is a type of LLM'}",4,GPT (Generative Pre-trained Transformer) is a type of Large Language Model (LLM) designed to generate human-like text. LLMs are trained on massive datasets and use deep learning techniques like the Transformer architecture to predict and generate text responses.
80551683-ff6b-44ee-95c0-f78427329541,How can ChatGPT generate images if it is a text-based AI?,"{'D': 'It stores millions of pre-made pictures', 'C': 'It has a built-in camera to capture images', 'B': 'It draws pictures using ASCII characters', 'A': 'It uses an integrated image-generation model like DALL·E'}",4,"ChatGPT itself is a text-based AI, but it integrates with models like DALL·E to generate images. DALL·E uses Diffusion Techniques to refine images over time. Older models used GANs (Generative Adversarial Networks), but diffusion models now produce more realistic images."
80551683-ff6b-44ee-95c0-f78427329541,What is the primary function of DALL·E?,"{'A': 'To generate images from text descriptions', 'B': 'To translate text between languages', 'C': 'To write long essays', 'D': 'To recognize human speech'}",1,"DALL·E is an AI model by OpenAI designed to create images based on text prompts. It was trained on vast datasets of images and text descriptions, enabling it to generate highly realistic and creative visuals."
80551683-ff6b-44ee-95c0-f78427329541,Which is a common application of AI today?,"{'A': 'Water filtration', 'B': 'Engine oil production', 'C': 'Concrete mixing', 'D': 'Recommendation systems'}",4,"AI powers recommendation engines used by platforms like Netflix, Amazon, and YouTube. These systems use data to predict user preferences."
